"videoId","title","filename","publishedAt","bang_count"
"CsKKNv8v0aQ","The Ultimate Guide to the Sanctum of Rebirth for Beginners! All Bosses and Mechanics Explained","The Ultimate Guide to the Sanctum of Rebirth for Beginners! All Bosses and Mechanics Explained.txt","2024-08-03T19:40:29Z",0
"6P70y7xWW1E","This is why you never give up... (Sanctum of Rebirth)","This is why you never give up... (Sanctum of Rebirth).txt","2024-07-27T17:49:48Z",33
"AjkXfuvIkRM","The Grind that Completely Broke Me... (Hardcore Ironman)","The Grind that Completely Broke Me... (Hardcore Ironman).txt","2024-07-13T19:28:07Z",14
"c_srbYtvJTM","A Beginner's Guide to Solo 500% Enrage Zamorak for 100m gp/h","A Beginner's Guide to Solo 500% Enrage Zamorak for 100m gph.txt","2024-06-26T20:42:22Z",0
"bc1UB3iUyUQ","My Next Adventure..","My Next Adventure...txt","2024-06-20T17:38:12Z",0
"LHCX5N6O7X8","The Grind That Nearly Broke Me.. (Hardcore Ironman)","The Grind That Nearly Broke Me.. (Hardcore Ironman).txt","2024-06-09T17:42:46Z",9
"hxstLtfKUq4","Huge Combat Beta","Huge Combat Beta.txt","2024-05-31T22:07:09Z",0
"OemSo_IPYsQ","A Guide to Osseous for Complete Beginners! (70 Necromancy, Mechanics Explained)","A Guide to Osseous for Complete Beginners! (70 Necromancy, Mechanics Explained).txt","2024-05-29T18:25:47Z",0
"YP6wjLgBRTU","The Easiest way to Solo the Ambassador (T80 Necromancy, No Zuk Cape)","The Easiest way to Solo the Ambassador (T80 Necromancy, No Zuk Cape).txt","2024-05-23T16:30:05Z",0
"-d7zWLTUgp0","RuneScape is back.","RuneScape is back..txt","2024-05-14T23:58:18Z",0
"t4rx56bRkkI","Disaster #runescape #gaming #runescape3","Disaster #runescape #gaming #runescape3.txt","2024-05-11T21:10:45Z",0
"kNYb3Hj2MD4","This Unreleased Boss Fight Dialogue is INSANE.. #runescape #gaming #unreleased","This Unreleased Boss Fight Dialogue is INSANE.. #runescape #gaming #unreleased.txt","2024-05-08T13:51:55Z",0
"sgUlMLLmYCo","I Took Revenge on The Hardest Challenge in RuneScape History (PvM Nuzlocke)","I Took Revenge on The Hardest Challenge in RuneScape History (PvM Nuzlocke).txt","2024-05-04T08:16:59Z",11
"27ki57E-s2s","Runescape's Newest Quest Reward is Good | Zorgoth's Soul Ring","Runescape's Newest Quest Reward is Good  Zorgoth's Soul Ring.txt","2024-04-23T15:43:59Z",0
"MEBLjtkekqc","You Can AFK 4000% Enrage Telos??","You Can AFK 4000% Enrage Telos.txt","2024-04-12T23:36:45Z",0
"DzMohXo7Wb4","I brought my Near-Maxed Hardcore Ironman to Telos and did the impossible..","I brought my Near-Maxed Hardcore Ironman to Telos and did the impossible...txt","2024-04-06T16:11:55Z",1
"ZoyOWyHMxgM","The Hardest Challenge in RuneScape History: PvM Nuzlocke (Full Movie)","The Hardest Challenge in RuneScape History PvM Nuzlocke (Full Movie).txt","2024-03-25T17:20:41Z",3
"9QdQtiadswQ","Combat in RuneScape got a HUGE Update, but Which Style is the Best?","Combat in RuneScape got a HUGE Update, but Which Style is the Best.txt","2024-03-11T12:00:08Z",0
"7jwLWEw-D0I","Melee is SO BACK! Huge RuneScape Combat Update #Runescape #runescape3","Melee is SO BACK! Huge RuneScape Combat Update #Runescape #runescape3.txt","2024-03-05T18:49:24Z",4
"jC1Thoe2MQc","Combat in RuneScape just got a Massive Upgrade: Everything You Need To Know!","Combat in RuneScape just got a Massive Upgrade Everything You Need To Know!.txt","2024-03-04T13:05:34Z",0
"HPduLdIxWzo","The Best way to do Phase 4 Telos with Necromancy (Works at Every Enrage, 100% Safe)","The Best way to do Phase 4 Telos with Necromancy (Works at Every Enrage, 100% Safe).txt","2024-02-29T16:56:08Z",0
"KDFuvJ26-Ag","23 Useful RuneScape Tips You Probably Didn't Know!","23 Useful RuneScape Tips You Probably Didn't Know!.txt","2024-02-20T16:25:23Z",0
"omYBTqV9zbw","I have to go to Solak on my Hardcore Ironman (I almost lost everything)","I have to go to Solak on my Hardcore Ironman (I almost lost everything).txt","2024-01-31T20:51:00Z",1
